dataset,model,setting,split_seed,model_seed,attack_score,n_members,n_nonmembers,train_accuracy,nonmember_accuracy,accuracy_gap,train_log_loss,nonmember_log_loss,log_loss_gap,fit_seconds,metric,value,threshold,empirical_fpr,tie_fraction
credit_default,random_forest,CD/RF,20260602,20260602,neg_loss,15000,15000,0.9994,0.8145333333333333,0.18486666666666662,0.11372604342401026,0.4461880582609977,0.33246201483698745,0.7922484159935266,AUC,0.7584220711111112,,,
credit_default,random_forest,CD/RF,20260602,20260602,neg_loss,15000,15000,0.9994,0.8145333333333333,0.18486666666666662,0.11372604342401026,0.4461880582609977,0.33246201483698745,0.7922484159935266,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862
credit_default,random_forest,CD/RF,20260602,20260602,neg_loss,15000,15000,0.9994,0.8145333333333333,0.18486666666666662,0.11372604342401026,0.4461880582609977,0.33246201483698745,0.7922484159935266,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256
credit_default,random_forest,CD/RF,20260603,20260603,neg_loss,15000,15000,0.9994666666666666,0.8161333333333334,0.18333333333333324,0.11430580143324463,0.4391653430685902,0.32485954163534553,0.7614429160021245,AUC,0.7600071155555557,,,
credit_default,random_forest,CD/RF,20260603,20260603,neg_loss,15000,15000,0.9994666666666666,0.8161333333333334,0.18333333333333324,0.11430580143324463,0.4391653430685902,0.32485954163534553,0.7614429160021245,TPR@1%FPR,0.05622795698924731,-0.0100503358989954,0.01,0.7096774193548387
credit_default,random_forest,CD/RF,20260603,20260603,neg_loss,15000,15000,0.9994666666666666,0.8161333333333334,0.18333333333333324,0.11430580143324463,0.4391653430685902,0.32485954163534553,0.7614429160021245,TPR@0.1%FPR,0.006241379310344828,0.0,0.001,0.5172413793103449
credit_default,random_forest,CD/RF,20260604,20260604,neg_loss,15000,15000,0.9996666666666667,0.8184,0.1812666666666667,0.11449306087473672,0.4402206593813242,0.3257275985065875,0.7984691670280881,AUC,0.7546684133333332,,,
credit_default,random_forest,CD/RF,20260604,20260604,neg_loss,15000,15000,0.9996666666666667,0.8184,0.1812666666666667,0.11449306087473672,0.4402206593813242,0.3257275985065875,0.7984691670280881,TPR@1%FPR,0.05732397660818713,-0.0100503358989954,0.01,0.45614035087719296
credit_default,random_forest,CD/RF,20260604,20260604,neg_loss,15000,15000,0.9996666666666667,0.8184,0.1812666666666667,0.11449306087473672,0.4402206593813242,0.3257275985065875,0.7984691670280881,TPR@0.1%FPR,0.00684375,0.0,0.001,0.46875
credit_default,random_forest,CD/RF,20260605,20260605,neg_loss,15000,15000,0.9996,0.8173333333333334,0.1822666666666667,0.11394352213789301,0.4416193649070523,0.3276758427691593,0.7544922499801032,AUC,0.7625994111111111,,,
credit_default,random_forest,CD/RF,20260605,20260605,neg_loss,15000,15000,0.9996,0.8173333333333334,0.1822666666666667,0.11394352213789301,0.4416193649070523,0.3276758427691593,0.7544922499801032,TPR@1%FPR,0.06378759689922481,-0.0100503358989954,0.01,0.8255813953488372
credit_default,random_forest,CD/RF,20260605,20260605,neg_loss,15000,15000,0.9996,0.8173333333333334,0.1822666666666667,0.11394352213789301,0.4416193649070523,0.3276758427691593,0.7544922499801032,TPR@0.1%FPR,0.0068,0.0,0.001,0.5
credit_default,random_forest,CD/RF,20260606,20260606,neg_loss,15000,15000,0.9996666666666667,0.8117333333333333,0.1879333333333334,0.11234351162020698,0.4507802932995766,0.33843678167936964,0.7868089160183445,AUC,0.7611792066666666,,,
credit_default,random_forest,CD/RF,20260606,20260606,neg_loss,15000,15000,0.9996666666666667,0.8117333333333333,0.1879333333333334,0.11234351162020698,0.4507802932995766,0.33843678167936964,0.7868089160183445,TPR@1%FPR,0.06276595744680852,-0.0100503358989954,0.01,0.723404255319149
credit_default,random_forest,CD/RF,20260606,20260606,neg_loss,15000,15000,0.9996666666666667,0.8117333333333333,0.1879333333333334,0.11234351162020698,0.4507802932995766,0.33843678167936964,0.7868089160183445,TPR@0.1%FPR,0.006517241379310345,0.0,0.001,0.5172413793103449
credit_default,extra_trees,CD/ET,20260602,20260602,neg_loss,15000,15000,0.9994,0.8097333333333333,0.18966666666666665,0.0008317766166721562,0.47862900552246146,0.4777972289057893,0.3173632089747116,AUC,0.9976632533333334,,,
credit_default,extra_trees,CD/ET,20260602,20260602,neg_loss,15000,15000,0.9994,0.8097333333333333,0.18966666666666665,0.0008317766166721562,0.47862900552246146,0.4777972289057893,0.3173632089747116,TPR@1%FPR,0.9988,-0.0100503358989954,0.01,0.7444444444444444
credit_default,extra_trees,CD/ET,20260602,20260602,neg_loss,15000,15000,0.9994,0.8097333333333333,0.18966666666666665,0.0008317766166721562,0.47862900552246146,0.4777972289057893,0.3173632089747116,TPR@0.1%FPR,0.36541463414634145,0.0,0.001,0.36585365853658536
credit_default,extra_trees,CD/ET,20260603,20260603,neg_loss,15000,15000,0.9994666666666666,0.8109333333333333,0.18853333333333333,0.0007393569925974968,0.4863712634262804,0.4856319064336829,0.31669291597791016,AUC,0.9975031288888889,,,
credit_default,extra_trees,CD/ET,20260603,20260603,neg_loss,15000,15000,0.9994666666666666,0.8109333333333333,0.18853333333333333,0.0007393569925974968,0.4863712634262804,0.4856319064336829,0.31669291597791016,TPR@1%FPR,0.9989333333333333,-0.0100503358989954,0.01,0.6493506493506492
credit_default,extra_trees,CD/ET,20260603,20260603,neg_loss,15000,15000,0.9994666666666666,0.8109333333333333,0.18853333333333333,0.0007393569925974968,0.4863712634262804,0.4856319064336829,0.31669291597791016,TPR@0.1%FPR,0.30579591836734693,0.0,0.001,0.30612244897959184
credit_default,extra_trees,CD/ET,20260604,20260604,neg_loss,15000,15000,0.9996666666666667,0.8109333333333333,0.18873333333333342,0.0005318645395421244,0.47714384145908667,0.47661197691954454,0.32018500001868233,AUC,0.9977039955555556,,,
credit_default,extra_trees,CD/ET,20260604,20260604,neg_loss,15000,15000,0.9996666666666667,0.8109333333333333,0.18873333333333342,0.0005318645395421244,0.47714384145908667,0.47661197691954454,0.32018500001868233,TPR@1%FPR,0.9992,-0.0100503358989954,0.01,0.43820224719101125
credit_default,extra_trees,CD/ET,20260604,20260604,neg_loss,15000,15000,0.9996666666666667,0.8109333333333333,0.18873333333333342,0.0005318645395421244,0.47714384145908667,0.47661197691954454,0.32018500001868233,TPR@0.1%FPR,0.29975999999999997,0.0,0.001,0.3
credit_default,extra_trees,CD/ET,20260605,20260605,neg_loss,15000,15000,0.9996,0.8123333333333334,0.1872666666666667,0.000554517744448178,0.48591067356591594,0.48535615582146774,0.31029516604030505,AUC,0.9980182133333333,,,
credit_default,extra_trees,CD/ET,20260605,20260605,neg_loss,15000,15000,0.9996,0.8123333333333334,0.1872666666666667,0.000554517744448178,0.48591067356591594,0.48535615582146774,0.31029516604030505,TPR@1%FPR,0.9992,-0.0100503358989954,0.01,0.6976744186046512
credit_default,extra_trees,CD/ET,20260605,20260605,neg_loss,15000,15000,0.9996,0.8123333333333334,0.1872666666666667,0.000554517744448178,0.48591067356591594,0.48535615582146774,0.31029516604030505,TPR@0.1%FPR,0.3747,0.0,0.001,0.375
credit_default,extra_trees,CD/ET,20260606,20260606,neg_loss,15000,15000,0.9996666666666667,0.8058666666666666,0.19380000000000008,0.0004620981203735188,0.4886591910025281,0.48819709288215457,0.32006295799510553,AUC,0.9974308,,,
credit_default,extra_trees,CD/ET,20260606,20260606,neg_loss,15000,15000,0.9996666666666667,0.8058666666666666,0.19380000000000008,0.0004620981203735188,0.4886591910025281,0.48819709288215457,0.32006295799510553,TPR@1%FPR,0.9993333333333333,-0.0100503358989954,0.01,0.31578947368421056
credit_default,extra_trees,CD/ET,20260606,20260606,neg_loss,15000,15000,0.9996666666666667,0.8058666666666666,0.19380000000000008,0.0004620981203735188,0.4886591910025281,0.48819709288215457,0.32006295799510553,TPR@0.1%FPR,0.2457377049180328,0.0,0.001,0.24590163934426232
adult_income,random_forest,Adult/RF,20260602,20260602,neg_loss,24421,24421,0.9999590516358872,0.8521764055525982,0.14778264608328895,0.08010575675845427,0.3474214725040819,0.2673157157456276,0.5984178750077263,AUC,0.6286392984362937,,,
adult_income,random_forest,Adult/RF,20260602,20260602,neg_loss,24421,24421,0.9999590516358872,0.8521764055525982,0.14778264608328895,0.08010575675845427,0.3474214725040819,0.2673157157456276,0.5984178750077263,TPR@1%FPR,0.014147345612134344,0.0,0.01,0.05291657638136511
adult_income,random_forest,Adult/RF,20260602,20260602,neg_loss,24421,24421,0.9999590516358872,0.8521764055525982,0.14778264608328895,0.08010575675845427,0.3474214725040819,0.2673157157456276,0.5984178750077263,TPR@0.1%FPR,0.0014147345612134344,0.0,0.001,0.0052916576381365115
adult_income,random_forest,Adult/RF,20260603,20260603,neg_loss,24421,24421,1.0,0.8552065844969493,0.1447934155030507,0.08127179505073416,0.35293109956675284,0.27165930451601866,0.6058132500038482,AUC,0.6269883311884307,,,
adult_income,random_forest,Adult/RF,20260603,20260603,neg_loss,24421,24421,1.0,0.8552065844969493,0.1447934155030507,0.08127179505073416,0.35293109956675284,0.27165930451601866,0.6058132500038482,TPR@1%FPR,0.014427141268075637,0.0,0.01,0.05432925472747497
adult_income,random_forest,Adult/RF,20260603,20260603,neg_loss,24421,24421,1.0,0.8552065844969493,0.1447934155030507,0.08127179505073416,0.35293109956675284,0.27165930451601866,0.6058132500038482,TPR@0.1%FPR,0.001442714126807564,0.0,0.001,0.005432925472747497
adult_income,random_forest,Adult/RF,20260604,20260604,neg_loss,24421,24421,0.9999181032717743,0.8565578805126736,0.14336022275910076,0.0804482716767726,0.3517218377533576,0.271273566076585,0.6103154580341652,AUC,0.6217008923264082,,,
adult_income,random_forest,Adult/RF,20260604,20260604,neg_loss,24421,24421,0.9999181032717743,0.8565578805126736,0.14336022275910076,0.0804482716767726,0.3517218377533576,0.271273566076585,0.6103154580341652,TPR@1%FPR,0.013674108074274983,0.0,0.01,0.05095138744001669
adult_income,random_forest,Adult/RF,20260604,20260604,neg_loss,24421,24421,0.9999181032717743,0.8565578805126736,0.14336022275910076,0.0804482716767726,0.3517218377533576,0.271273566076585,0.6103154580341652,TPR@0.1%FPR,0.0013674108074274985,0.0,0.001,0.005095138744001669
adult_income,random_forest,Adult/RF,20260605,20260605,neg_loss,24421,24421,0.9999181032717743,0.8552475328610623,0.14467057041071207,0.08056280113642499,0.34361599496301587,0.26305319382659087,0.607158666010946,AUC,0.6208803815787252,,,
adult_income,random_forest,Adult/RF,20260605,20260605,neg_loss,24421,24421,0.9999181032717743,0.8552475328610623,0.14467057041071207,0.08056280113642499,0.34361599496301587,0.26305319382659087,0.607158666010946,TPR@1%FPR,0.014011123470522802,0.0,0.01,0.05432925472747497
adult_income,random_forest,Adult/RF,20260605,20260605,neg_loss,24421,24421,0.9999181032717743,0.8552475328610623,0.14467057041071207,0.08056280113642499,0.34361599496301587,0.26305319382659087,0.607158666010946,TPR@0.1%FPR,0.0014011123470522803,0.0,0.001,0.005432925472747497
adult_income,random_forest,Adult/RF,20260606,20260606,neg_loss,24421,24421,0.9999590516358872,0.8552065844969493,0.14475246713893786,0.08059101432187867,0.344312542824333,0.26372152850245434,0.6055377909797244,AUC,0.6267524551299216,,,
adult_income,random_forest,Adult/RF,20260606,20260606,neg_loss,24421,24421,0.9999590516358872,0.8552065844969493,0.14475246713893786,0.08059101432187867,0.344312542824333,0.26372152850245434,0.6055377909797244,TPR@1%FPR,0.014210526315789474,0.0,0.01,0.052248609328198546
adult_income,random_forest,Adult/RF,20260606,20260606,neg_loss,24421,24421,0.9999590516358872,0.8552065844969493,0.14475246713893786,0.08059101432187867,0.344312542824333,0.26372152850245434,0.6055377909797244,TPR@0.1%FPR,0.0014210526315789475,0.0,0.001,0.005224860932819855
