setting,dataset,dataset_label,model,model_label,attack_score,target_fpr,metric,rule,rule_description,threshold,included_tie_fraction,tpr,empirical_fpr,membership_advantage,target_fpr_gap,n_members,n_nonmembers,member_gt_threshold,member_eq_threshold,member_ge_threshold,nonmember_gt_threshold,nonmember_eq_threshold,nonmember_ge_threshold,nonmember_tie_rate
CD/RF,credit_default,Credit default,random_forest,Random forest,neg_loss,0.01,TPR@1%FPR,strict_gt,score > threshold,-0.0100503358989954,0.0,0.04306666666666667,0.0086,0.03446666666666667,-0.0014000000000000002,15000,15000,646,522,1168,129,129,258,0.0086
CD/RF,credit_default,Credit default,random_forest,Random forest,neg_loss,0.01,TPR@1%FPR,inclusive_ge,score >= threshold,-0.0100503358989954,1.0,0.07786666666666667,0.0172,0.06066666666666667,0.0072,15000,15000,646,522,1168,129,129,258,0.0086
CD/RF,credit_default,Credit default,random_forest,Random forest,neg_loss,0.01,TPR@1%FPR,randomized_tie_aware,score > threshold plus randomized threshold ties,-0.0100503358989954,0.16279069767441862,0.048731782945736435,0.01,0.03873178294573643,0.0,15000,15000,646,522,1168,129,129,258,0.0086
CD/RF,credit_default,Credit default,random_forest,Random forest,neg_loss,0.001,TPR@0.1%FPR,strict_gt,score > threshold,0.0,0.0,0.0,0.0,0.0,-0.001,15000,15000,0,218,218,0,43,43,0.0028666666666666667
CD/RF,credit_default,Credit default,random_forest,Random forest,neg_loss,0.001,TPR@0.1%FPR,inclusive_ge,score >= threshold,0.0,1.0,0.014533333333333334,0.0028666666666666667,0.011666666666666667,0.0018666666666666666,15000,15000,0,218,218,0,43,43,0.0028666666666666667
CD/RF,credit_default,Credit default,random_forest,Random forest,neg_loss,0.001,TPR@0.1%FPR,randomized_tie_aware,score > threshold plus randomized threshold ties,0.0,0.3488372093023256,0.005069767441860465,0.001,0.004069767441860465,0.0,15000,15000,0,218,218,0,43,43,0.0028666666666666667
CD/ET,credit_default,Credit default,extra_trees,Extra trees,neg_loss,0.01,TPR@1%FPR,strict_gt,score > threshold,-0.0100503358989954,0.0,0.9988,0.005533333333333334,0.9932666666666667,-0.0044666666666666665,15000,15000,14982,0,14982,83,90,173,0.006
CD/ET,credit_default,Credit default,extra_trees,Extra trees,neg_loss,0.01,TPR@1%FPR,inclusive_ge,score >= threshold,-0.0100503358989954,1.0,0.9988,0.011533333333333333,0.9872666666666667,0.0015333333333333327,15000,15000,14982,0,14982,83,90,173,0.006
CD/ET,credit_default,Credit default,extra_trees,Extra trees,neg_loss,0.01,TPR@1%FPR,randomized_tie_aware,score > threshold plus randomized threshold ties,-0.0100503358989954,0.7444444444444444,0.9988,0.01,0.9888,0.0,15000,15000,14982,0,14982,83,90,173,0.006
CD/ET,credit_default,Credit default,extra_trees,Extra trees,neg_loss,0.001,TPR@0.1%FPR,strict_gt,score > threshold,0.0,0.0,0.0,0.0,0.0,-0.001,15000,15000,0,14982,14982,0,41,41,0.0027333333333333333
CD/ET,credit_default,Credit default,extra_trees,Extra trees,neg_loss,0.001,TPR@0.1%FPR,inclusive_ge,score >= threshold,0.0,1.0,0.9988,0.0027333333333333333,0.9960666666666667,0.0017333333333333333,15000,15000,0,14982,14982,0,41,41,0.0027333333333333333
CD/ET,credit_default,Credit default,extra_trees,Extra trees,neg_loss,0.001,TPR@0.1%FPR,randomized_tie_aware,score > threshold plus randomized threshold ties,0.0,0.36585365853658536,0.36541463414634145,0.001,0.36441463414634145,0.0,15000,15000,0,14982,14982,0,41,41,0.0027333333333333333
Diab/RF,diabetes_readmission,Diabetes readmission,random_forest,Random forest,neg_loss,0.01,TPR@1%FPR,strict_gt,score > threshold,-0.015113637782633305,0.0,0.11078356228995932,0.009374447261364306,0.10140911502859501,-0.000625552738635694,50883,50883,5637,3673,9310,477,454,931,0.008922429888174833
Diab/RF,diabetes_readmission,Diabetes readmission,random_forest,Random forest,neg_loss,0.01,TPR@1%FPR,inclusive_ge,score >= threshold,-0.015113637782633305,1.0,0.1829687714953914,0.018296877149539138,0.16467189434585225,0.008296877149539137,50883,50883,5637,3673,9310,477,454,931,0.008922429888174833
Diab/RF,diabetes_readmission,Diabetes readmission,random_forest,Random forest,neg_loss,0.01,TPR@1%FPR,randomized_tie_aware,score > threshold plus randomized threshold ties,-0.015113637782633305,0.07011013215859034,0.11584447684724765,0.01,0.10584447684724765,0.0,50883,50883,5637,3673,9310,477,454,931,0.008922429888174833
Diab/RF,diabetes_readmission,Diabetes readmission,random_forest,Random forest,neg_loss,0.001,TPR@0.1%FPR,strict_gt,score > threshold,0.0,0.0,0.0,0.0,0.0,-0.001,50883,50883,0,805,805,0,64,64,0.0012577874732228838
Diab/RF,diabetes_readmission,Diabetes readmission,random_forest,Random forest,neg_loss,0.001,TPR@0.1%FPR,inclusive_ge,score >= threshold,0.0,1.0,0.015820608061631585,0.0012577874732228838,0.0145628205884087,0.00025778747322288383,50883,50883,0,805,805,0,64,64,0.0012577874732228838
Diab/RF,diabetes_readmission,Diabetes readmission,random_forest,Random forest,neg_loss,0.001,TPR@0.1%FPR,randomized_tie_aware,score > threshold plus randomized threshold ties,0.0,0.795046875,0.012578125,0.001,0.011578125000000002,0.0,50883,50883,0,805,805,0,64,64,0.0012577874732228838
Diab/ET,diabetes_readmission,Diabetes readmission,extra_trees,Extra trees,neg_loss,0.01,TPR@1%FPR,strict_gt,score > threshold,-0.005012542009353638,0.0,1.0,0.0035964860562466834,0.9964035139437534,-0.006403513943753316,50883,50883,50883,0,50883,183,331,514,0.006505119588074602
Diab/ET,diabetes_readmission,Diabetes readmission,extra_trees,Extra trees,neg_loss,0.01,TPR@1%FPR,inclusive_ge,score >= threshold,-0.005012542009353638,1.0,1.0,0.010101605644321287,0.9898983943556787,0.0001016056443212867,50883,50883,50883,0,50883,183,331,514,0.006505119588074602
Diab/ET,diabetes_readmission,Diabetes readmission,extra_trees,Extra trees,neg_loss,0.01,TPR@1%FPR,randomized_tie_aware,score > threshold plus randomized threshold ties,-0.005012542009353638,0.984380664652568,1.0,0.01,0.99,0.0,50883,50883,50883,0,50883,183,331,514,0.006505119588074602
Diab/ET,diabetes_readmission,Diabetes readmission,extra_trees,Extra trees,neg_loss,0.001,TPR@0.1%FPR,strict_gt,score > threshold,0.0,0.0,0.0,0.0,0.0,-0.001,50883,50883,0,50883,50883,0,183,183,0.0035964860562466834
Diab/ET,diabetes_readmission,Diabetes readmission,extra_trees,Extra trees,neg_loss,0.001,TPR@0.1%FPR,inclusive_ge,score >= threshold,0.0,1.0,1.0,0.0035964860562466834,0.9964035139437534,0.0025964860562466834,50883,50883,0,50883,50883,0,183,183,0.0035964860562466834
Diab/ET,diabetes_readmission,Diabetes readmission,extra_trees,Extra trees,neg_loss,0.001,TPR@0.1%FPR,randomized_tie_aware,score > threshold plus randomized threshold ties,0.0,0.27804918032786885,0.27804918032786885,0.001,0.27704918032786885,0.0,50883,50883,0,50883,50883,0,183,183,0.0035964860562466834
