dataset,model,attack_score,metric,point,ci_lower,ci_upper,ci_width,confidence,n_bootstrap,n_members,n_nonmembers
credit_default,logistic_regression,neg_loss,AUC,0.4966907555555555,0.4912316683888889,0.5026250719444445,0.0113934035555556,0.95,50,15000,15000
credit_default,logistic_regression,neg_loss,TPR@1%FPR,0.0088,0.007045,0.0110433333333333,0.0039983333333333,0.95,50,15000,15000
credit_default,logistic_regression,neg_loss,membership_advantage@1%FPR,-0.0011999999999999,-0.0024516666666666,0.0015549999999999,0.0040066666666666,0.95,50,15000,15000
credit_default,logistic_regression,neg_loss,TPR@0.1%FPR,0.0005333333333333,6.666666666666667e-05,0.001385,0.0013183333333333,0.95,50,15000,15000
credit_default,logistic_regression,neg_loss,membership_advantage@0.1%FPR,-0.0004666666666666,-0.0009183333333333,0.0001333333333333,0.0010516666666666,0.95,50,15000,15000
credit_default,logistic_regression,confidence,AUC,0.4949632444444444,0.4905450795,0.5023773231111112,0.0118322436111111,0.95,50,15000,15000
credit_default,logistic_regression,confidence,TPR@1%FPR,0.0095333333333333,0.0078149999999999,0.0112883333333333,0.0034733333333333,0.95,50,15000,15000
credit_default,logistic_regression,confidence,membership_advantage@1%FPR,-0.0004666666666666,-0.0023099999999999,0.0018366666666666,0.0041466666666666,0.95,50,15000,15000
credit_default,logistic_regression,confidence,TPR@0.1%FPR,0.0006,8.166666666666674e-05,0.001385,0.0013033333333333,0.95,50,15000,15000
credit_default,logistic_regression,confidence,membership_advantage@0.1%FPR,-0.0004,-0.0008666666666666,0.0001999999999999,0.0010666666666666,0.95,50,15000,15000
credit_default,logistic_regression,neg_entropy,AUC,0.4949632533333333,0.4905450721666667,0.5023773036666667,0.0118322314999999,0.95,50,15000,15000
credit_default,logistic_regression,neg_entropy,TPR@1%FPR,0.0095333333333333,0.0078149999999999,0.0112883333333333,0.0034733333333333,0.95,50,15000,15000
credit_default,logistic_regression,neg_entropy,membership_advantage@1%FPR,-0.0004666666666666,-0.0023099999999999,0.0018366666666666,0.0041466666666666,0.95,50,15000,15000
credit_default,logistic_regression,neg_entropy,TPR@0.1%FPR,0.0006,8.166666666666674e-05,0.001385,0.0013033333333333,0.95,50,15000,15000
credit_default,logistic_regression,neg_entropy,membership_advantage@0.1%FPR,-0.0004,-0.0008666666666666,0.0001999999999999,0.0010666666666666,0.95,50,15000,15000
credit_default,logistic_regression,modified_entropy,AUC,0.4966907511111111,0.4912316745555555,0.5026250724444445,0.011393397888889,0.95,50,15000,15000
credit_default,logistic_regression,modified_entropy,TPR@1%FPR,0.0088,0.007045,0.0110433333333333,0.0039983333333333,0.95,50,15000,15000
credit_default,logistic_regression,modified_entropy,membership_advantage@1%FPR,-0.0011999999999999,-0.0024516666666666,0.0015549999999999,0.0040066666666666,0.95,50,15000,15000
credit_default,logistic_regression,modified_entropy,TPR@0.1%FPR,0.0005333333333333,6.666666666666667e-05,0.001385,0.0013183333333333,0.95,50,15000,15000
credit_default,logistic_regression,modified_entropy,membership_advantage@0.1%FPR,-0.0004666666666666,-0.0009183333333333,0.0001333333333333,0.0010516666666666,0.95,50,15000,15000
credit_default,random_forest,neg_loss,AUC,0.7584220711111112,0.753176253,0.7638750938333333,0.0106988408333332,0.95,50,15000,15000
credit_default,random_forest,neg_loss,TPR@1%FPR,0.0487317829457364,0.0417398484848484,0.0546832954006638,0.0129434469158153,0.95,50,15000,15000
credit_default,random_forest,neg_loss,membership_advantage@1%FPR,0.0387317829457364,0.0316091498316498,0.0452508402255639,0.013641690393914,0.95,50,15000,15000
credit_default,random_forest,neg_loss,TPR@0.1%FPR,0.0050697674418604,0.00364925,0.0068568014705882,0.0032075514705882,0.95,50,15000,15000
credit_default,random_forest,neg_loss,membership_advantage@0.1%FPR,0.0040697674418604,0.0026467320261437,0.0068165229885057,0.0041697909623619,0.95,50,15000,15000
credit_default,random_forest,confidence,AUC,0.729629308888889,0.7241752227777778,0.7365010102777778,0.0123257875,0.95,50,15000,15000
credit_default,random_forest,confidence,TPR@1%FPR,0.0474488888888888,0.0408854964539007,0.0535432023070097,0.012657705853109,0.95,50,15000,15000
credit_default,random_forest,confidence,membership_advantage@1%FPR,0.0374488888888888,0.0309398703703703,0.0435616176470588,0.0126217472766884,0.95,50,15000,15000
credit_default,random_forest,confidence,TPR@0.1%FPR,0.0049545454545454,0.00364925,0.0065487394957983,0.0028994894957983,0.95,50,15000,15000
credit_default,random_forest,confidence,membership_advantage@0.1%FPR,0.0039545454545454,0.0025612581168831,0.006718576195773,0.0041573180788899,0.95,50,15000,15000
credit_default,random_forest,neg_entropy,AUC,0.729629308888889,0.7241752227777778,0.7365010102777778,0.0123257875,0.95,50,15000,15000
credit_default,random_forest,neg_entropy,TPR@1%FPR,0.0474488888888888,0.0408854964539007,0.0535432023070097,0.012657705853109,0.95,50,15000,15000
credit_default,random_forest,neg_entropy,membership_advantage@1%FPR,0.0374488888888888,0.0309398703703703,0.0435616176470588,0.0126217472766884,0.95,50,15000,15000
credit_default,random_forest,neg_entropy,TPR@0.1%FPR,0.0049545454545454,0.00364925,0.0065487394957983,0.0028994894957983,0.95,50,15000,15000
credit_default,random_forest,neg_entropy,membership_advantage@0.1%FPR,0.0039545454545454,0.0025612581168831,0.006718576195773,0.0041573180788899,0.95,50,15000,15000
credit_default,random_forest,modified_entropy,AUC,0.7584220711111112,0.753176253,0.7638750938333333,0.0106988408333332,0.95,50,15000,15000
credit_default,random_forest,modified_entropy,TPR@1%FPR,0.0487317829457364,0.0417398484848484,0.0546832954006638,0.0129434469158153,0.95,50,15000,15000
credit_default,random_forest,modified_entropy,membership_advantage@1%FPR,0.0387317829457364,0.0316091498316498,0.0452508402255639,0.013641690393914,0.95,50,15000,15000
credit_default,random_forest,modified_entropy,TPR@0.1%FPR,0.0050697674418604,0.00364925,0.0068568014705882,0.0032075514705882,0.95,50,15000,15000
credit_default,random_forest,modified_entropy,membership_advantage@0.1%FPR,0.0040697674418604,0.0026467320261437,0.0068165229885057,0.0041697909623619,0.95,50,15000,15000
credit_default,hist_gradient_boosting,neg_loss,AUC,0.5165283933333333,0.5118453587777778,0.5223927221666667,0.0105473633888888,0.95,50,15000,15000
credit_default,hist_gradient_boosting,neg_loss,TPR@1%FPR,0.0096,0.0077116666666666,0.011955,0.0042433333333333,0.95,50,15000,15000
credit_default,hist_gradient_boosting,neg_loss,membership_advantage@1%FPR,-0.0004,-0.0028216666666666,0.00174,0.0045616666666666,0.95,50,15000,15000
credit_default,hist_gradient_boosting,neg_loss,TPR@0.1%FPR,0.0011333333333333,0.0006816666666666,0.0016,0.0009183333333333,0.95,50,15000,15000
credit_default,hist_gradient_boosting,neg_loss,membership_advantage@0.1%FPR,0.0001333333333333,-0.0004516666666666,0.0008366666666666,0.0012883333333333,0.95,50,15000,15000
credit_default,hist_gradient_boosting,confidence,AUC,0.5023527844444444,0.4968719848888889,0.5085729306111112,0.0117009457222223,0.95,50,15000,15000
credit_default,hist_gradient_boosting,confidence,TPR@1%FPR,0.0093333333333333,0.00746,0.0116516666666666,0.0041916666666666,0.95,50,15000,15000
credit_default,hist_gradient_boosting,confidence,membership_advantage@1%FPR,-0.0006666666666666,-0.0030216666666666,0.0015183333333333,0.0045399999999999,0.95,50,15000,15000
credit_default,hist_gradient_boosting,confidence,TPR@0.1%FPR,0.0011333333333333,0.0006816666666666,0.0016,0.0009183333333333,0.95,50,15000,15000
credit_default,hist_gradient_boosting,confidence,membership_advantage@0.1%FPR,0.0001333333333333,-0.0004516666666666,0.0008366666666666,0.0012883333333333,0.95,50,15000,15000
credit_default,hist_gradient_boosting,neg_entropy,AUC,0.5023527688888889,0.4968719657222222,0.5085729268333332,0.0117009611111109,0.95,50,15000,15000
credit_default,hist_gradient_boosting,neg_entropy,TPR@1%FPR,0.0093333333333333,0.00746,0.0116516666666666,0.0041916666666666,0.95,50,15000,15000
credit_default,hist_gradient_boosting,neg_entropy,membership_advantage@1%FPR,-0.0006666666666666,-0.0030216666666666,0.0015183333333333,0.0045399999999999,0.95,50,15000,15000
credit_default,hist_gradient_boosting,neg_entropy,TPR@0.1%FPR,0.0011333333333333,0.0006816666666666,0.0016,0.0009183333333333,0.95,50,15000,15000
credit_default,hist_gradient_boosting,neg_entropy,membership_advantage@0.1%FPR,0.0001333333333333,-0.0004516666666666,0.0008366666666666,0.0012883333333333,0.95,50,15000,15000
credit_default,hist_gradient_boosting,modified_entropy,AUC,0.5165283911111112,0.5118453551111111,0.522392717888889,0.0105473627777779,0.95,50,15000,15000
credit_default,hist_gradient_boosting,modified_entropy,TPR@1%FPR,0.0096,0.0077116666666666,0.011955,0.0042433333333333,0.95,50,15000,15000
credit_default,hist_gradient_boosting,modified_entropy,membership_advantage@1%FPR,-0.0004,-0.0028216666666666,0.00174,0.0045616666666666,0.95,50,15000,15000
credit_default,hist_gradient_boosting,modified_entropy,TPR@0.1%FPR,0.0011333333333333,0.0006816666666666,0.0016,0.0009183333333333,0.95,50,15000,15000
credit_default,hist_gradient_boosting,modified_entropy,membership_advantage@0.1%FPR,0.0001333333333333,-0.0004516666666666,0.0008366666666666,0.0012883333333333,0.95,50,15000,15000
credit_default,extra_trees,neg_loss,AUC,0.9976632533333334,0.9970954056666668,0.9982598071666666,0.0011644014999999,0.95,50,15000,15000
credit_default,extra_trees,neg_loss,TPR@1%FPR,0.9988,0.9982816666666666,0.9992666666666666,0.000985,0.95,50,15000,15000
credit_default,extra_trees,neg_loss,membership_advantage@1%FPR,0.9888,0.9883483333333332,0.9892,0.0008516666666666,0.95,50,15000,15000
credit_default,extra_trees,neg_loss,TPR@0.1%FPR,0.3654146341463414,0.289295984162896,0.5269721428571428,0.2376761586942468,0.95,50,15000,15000
credit_default,extra_trees,neg_loss,membership_advantage@0.1%FPR,0.3644146341463414,0.2884400169683258,0.5118027586206896,0.2233627416523637,0.95,50,15000,15000
credit_default,extra_trees,confidence,AUC,0.9970697466666668,0.9964196613333332,0.997727844777778,0.0013081834444446,0.95,50,15000,15000
credit_default,extra_trees,confidence,TPR@1%FPR,0.9988,0.9982816666666666,0.9992666666666666,0.000985,0.95,50,15000,15000
credit_default,extra_trees,confidence,membership_advantage@1%FPR,0.9888,0.9883483333333332,0.9892,0.0008516666666666,0.95,50,15000,15000
credit_default,extra_trees,confidence,TPR@0.1%FPR,0.2881153846153846,0.232214945054945,0.3942309210526316,0.1620159759976865,0.95,50,15000,15000
credit_default,extra_trees,confidence,membership_advantage@0.1%FPR,0.2871153846153846,0.2407008064516129,0.3993363305613305,0.1586355241097176,0.95,50,15000,15000
credit_default,extra_trees,neg_entropy,AUC,0.9970697466666668,0.9964196613333332,0.997727844777778,0.0013081834444446,0.95,50,15000,15000
credit_default,extra_trees,neg_entropy,TPR@1%FPR,0.9988,0.9982816666666666,0.9992666666666666,0.000985,0.95,50,15000,15000
credit_default,extra_trees,neg_entropy,membership_advantage@1%FPR,0.9888,0.9883483333333332,0.9892,0.0008516666666666,0.95,50,15000,15000
credit_default,extra_trees,neg_entropy,TPR@0.1%FPR,0.2881153846153846,0.232214945054945,0.3942309210526316,0.1620159759976865,0.95,50,15000,15000
credit_default,extra_trees,neg_entropy,membership_advantage@0.1%FPR,0.2871153846153846,0.2407008064516129,0.3993363305613305,0.1586355241097176,0.95,50,15000,15000
credit_default,extra_trees,modified_entropy,AUC,0.9976632533333334,0.9970954056666668,0.9982598071666666,0.0011644014999999,0.95,50,15000,15000
credit_default,extra_trees,modified_entropy,TPR@1%FPR,0.9988,0.9982816666666666,0.9992666666666666,0.000985,0.95,50,15000,15000
credit_default,extra_trees,modified_entropy,membership_advantage@1%FPR,0.9888,0.9883483333333332,0.9892,0.0008516666666666,0.95,50,15000,15000
credit_default,extra_trees,modified_entropy,TPR@0.1%FPR,0.3654146341463414,0.289295984162896,0.5269721428571428,0.2376761586942468,0.95,50,15000,15000
credit_default,extra_trees,modified_entropy,membership_advantage@0.1%FPR,0.3644146341463414,0.2884400169683258,0.5118027586206896,0.2233627416523637,0.95,50,15000,15000
credit_default,small_mlp,neg_loss,AUC,0.5032664133333333,0.4985139742222221,0.5086073156666666,0.0100933414444444,0.95,50,15000,15000
credit_default,small_mlp,neg_loss,TPR@1%FPR,0.0100666666666666,0.008245,0.0120733333333333,0.0038283333333333,0.95,50,15000,15000
credit_default,small_mlp,neg_loss,membership_advantage@1%FPR,6.666666666666626e-05,-0.0014066666666666,0.0020516666666666,0.0034583333333333,0.95,50,15000,15000
credit_default,small_mlp,neg_loss,TPR@0.1%FPR,0.0006,0.0001333333333333,0.0015699999999999,0.0014366666666666,0.95,50,15000,15000
credit_default,small_mlp,neg_loss,membership_advantage@0.1%FPR,-0.0004,-0.000985,0.0009316666666666,0.0019166666666666,0.95,50,15000,15000
credit_default,small_mlp,confidence,AUC,0.4990097022222222,0.4940537981111111,0.5049313339444444,0.0108775358333333,0.95,50,15000,15000
credit_default,small_mlp,confidence,TPR@1%FPR,0.0098666666666666,0.008305,0.0116,0.0032949999999999,0.95,50,15000,15000
credit_default,small_mlp,confidence,membership_advantage@1%FPR,-0.0001333333333333,-0.0012883333333333,0.0024583333333333,0.0037466666666666,0.95,50,15000,15000
credit_default,small_mlp,confidence,TPR@0.1%FPR,0.0006,0.0001333333333333,0.0015699999999999,0.0014366666666666,0.95,50,15000,15000
credit_default,small_mlp,confidence,membership_advantage@0.1%FPR,-0.0004,-0.000985,0.0009316666666666,0.0019166666666666,0.95,50,15000,15000
credit_default,small_mlp,neg_entropy,AUC,0.4990097177777778,0.4940538298333333,0.504931367,0.0108775371666666,0.95,50,15000,15000
credit_default,small_mlp,neg_entropy,TPR@1%FPR,0.0098666666666666,0.008305,0.0116,0.0032949999999999,0.95,50,15000,15000
credit_default,small_mlp,neg_entropy,membership_advantage@1%FPR,-0.0001333333333333,-0.0012883333333333,0.0024583333333333,0.0037466666666666,0.95,50,15000,15000
credit_default,small_mlp,neg_entropy,TPR@0.1%FPR,0.0006,0.0001333333333333,0.0015699999999999,0.0014366666666666,0.95,50,15000,15000
credit_default,small_mlp,neg_entropy,membership_advantage@0.1%FPR,-0.0004,-0.000985,0.0009316666666666,0.0019166666666666,0.95,50,15000,15000
credit_default,small_mlp,modified_entropy,AUC,0.5032664155555555,0.4985139778333333,0.508607316,0.0100933381666666,0.95,50,15000,15000
credit_default,small_mlp,modified_entropy,TPR@1%FPR,0.0100666666666666,0.008245,0.0120733333333333,0.0038283333333333,0.95,50,15000,15000
credit_default,small_mlp,modified_entropy,membership_advantage@1%FPR,6.666666666666626e-05,-0.0014066666666666,0.0020516666666666,0.0034583333333333,0.95,50,15000,15000
credit_default,small_mlp,modified_entropy,TPR@0.1%FPR,0.0006,0.0001333333333333,0.0015699999999999,0.0014366666666666,0.95,50,15000,15000
credit_default,small_mlp,modified_entropy,membership_advantage@0.1%FPR,-0.0004,-0.000985,0.0009316666666666,0.0019166666666666,0.95,50,15000,15000
covertype,logistic_regression,neg_loss,AUC,0.5003382028257146,0.4993302821581641,0.5017578193780189,0.0024275372198547,0.95,50,290506,290506
covertype,logistic_regression,neg_loss,TPR@1%FPR,0.009824237709376,0.0094055716577282,0.0102746586989597,0.0008690870412315,0.95,50,290506,290506
covertype,logistic_regression,neg_loss,membership_advantage@1%FPR,-0.0001757622906239,-0.0006549262321604,0.0003220759640076,0.000977002196168,0.95,50,290506,290506
covertype,logistic_regression,neg_loss,TPR@0.1%FPR,0.000956950975195,0.0008372460465532,0.0010973095220064,0.0002600634754531,0.95,50,290506,290506
covertype,logistic_regression,neg_loss,membership_advantage@0.1%FPR,-4.304902480499549e-05,-0.0001986396150165,9.765374897592476e-05,0.0002962933639924,0.95,50,290506,290506
covertype,logistic_regression,confidence,AUC,0.5002088261206079,0.4988860848721947,0.5015461329824803,0.0026600481102855,0.95,50,290506,290506
covertype,logistic_regression,confidence,TPR@1%FPR,0.0098380067881558,0.0094471370642947,0.010269667407902,0.0008225303436073,0.95,50,290506,290506
covertype,logistic_regression,confidence,membership_advantage@1%FPR,-0.0001619932118441,-0.0006784197228284,0.000387823315181,0.0010662430380095,0.95,50,290506,290506
covertype,logistic_regression,confidence,TPR@0.1%FPR,0.000956950975195,0.0008372460465532,0.0010973095220064,0.0002600634754531,0.95,50,290506,290506
covertype,logistic_regression,confidence,membership_advantage@0.1%FPR,-4.304902480499549e-05,-0.0001986396150165,9.765374897592476e-05,0.0002962933639924,0.95,50,290506,290506
covertype,logistic_regression,neg_entropy,AUC,0.5007097630501207,0.4992230971932321,0.5020112220996484,0.0027881249064163,0.95,50,290506,290506
covertype,logistic_regression,neg_entropy,TPR@1%FPR,0.0097829304730367,0.0093264855114868,0.0102505628110951,0.0009240772996082,0.95,50,290506,290506
covertype,logistic_regression,neg_entropy,membership_advantage@1%FPR,-0.0002170695269632,-0.0007755777849682,0.0002430758745086,0.0010186536594769,0.95,50,290506,290506
covertype,logistic_regression,neg_entropy,TPR@0.1%FPR,0.0009672777842798,0.0008345782875396,0.0010973095220064,0.0002627312344667,0.95,50,290506,290506
covertype,logistic_regression,neg_entropy,membership_advantage@0.1%FPR,-3.2722215720157235e-05,-0.0001970905936538,9.42114792809787e-05,0.0002913020729348,0.95,50,290506,290506
covertype,logistic_regression,modified_entropy,AUC,0.5002860094733773,0.4992723980163195,0.5017506645266536,0.0024782665103341,0.95,50,290506,290506
covertype,logistic_regression,modified_entropy,TPR@1%FPR,0.0098001418215114,0.009363834137677,0.0102715606562342,0.0009077265185572,0.95,50,290506,290506
covertype,logistic_regression,modified_entropy,membership_advantage@1%FPR,-0.0001998581784885,-0.0007432204498358,0.0004009039400218,0.0011441243898576,0.95,50,290506,290506
covertype,logistic_regression,modified_entropy,TPR@0.1%FPR,0.000956950975195,0.0008292427695125,0.0010973095220064,0.0002680667524939,0.95,50,290506,290506
covertype,logistic_regression,modified_entropy,membership_advantage@0.1%FPR,-4.304902480499549e-05,-0.0001986396150165,9.765374897592476e-05,0.0002962933639924,0.95,50,290506,290506
covertype,random_forest,neg_loss,AUC,0.6995279023293505,0.6982242233438857,0.701073871033199,0.0028496476893132,0.95,50,290506,290506
covertype,random_forest,neg_loss,TPR@1%FPR,0.0314774615129028,0.0306820080277717,0.0320286344123426,0.0013466263845708,0.95,50,290506,290506
covertype,random_forest,neg_loss,membership_advantage@1%FPR,0.0214774615129028,0.0207941005705689,0.022209901620849,0.00141580105028,0.95,50,290506,290506
covertype,random_forest,neg_loss,TPR@0.1%FPR,0.0031477461512902,0.0030911586240375,0.0032241452411848,0.0001329866171473,0.95,50,290506,290506
covertype,random_forest,neg_loss,membership_advantage@0.1%FPR,0.0021477461512902,0.002091213888224,0.00221802361108,0.0001268097228559,0.95,50,290506,290506
covertype,random_forest,confidence,AUC,0.6986312829289756,0.6973218246041852,0.7001105821548596,0.0027887575506743,0.95,50,290506,290506
covertype,random_forest,confidence,TPR@1%FPR,0.0314774615129028,0.0306820080277717,0.0320286344123426,0.0013466263845708,0.95,50,290506,290506
covertype,random_forest,confidence,membership_advantage@1%FPR,0.0214774615129028,0.0207941005705689,0.022209901620849,0.00141580105028,0.95,50,290506,290506
covertype,random_forest,confidence,TPR@0.1%FPR,0.0031477461512902,0.0030911586240375,0.0032241452411848,0.0001329866171473,0.95,50,290506,290506
covertype,random_forest,confidence,membership_advantage@0.1%FPR,0.0021477461512902,0.002091213888224,0.00221802361108,0.0001268097228559,0.95,50,290506,290506
covertype,random_forest,neg_entropy,AUC,0.6996280525584669,0.6982822587987969,0.7011181769529937,0.0028359181541968,0.95,50,290506,290506
covertype,random_forest,neg_entropy,TPR@1%FPR,0.0314774615129028,0.0306820080277717,0.0320286344123426,0.0013466263845708,0.95,50,290506,290506
covertype,random_forest,neg_entropy,membership_advantage@1%FPR,0.0214774615129028,0.0207941005705689,0.022209901620849,0.00141580105028,0.95,50,290506,290506
covertype,random_forest,neg_entropy,TPR@0.1%FPR,0.0031477461512902,0.0030911586240375,0.0032241452411848,0.0001329866171473,0.95,50,290506,290506
covertype,random_forest,neg_entropy,membership_advantage@0.1%FPR,0.0021477461512902,0.002091213888224,0.00221802361108,0.0001268097228559,0.95,50,290506,290506
covertype,random_forest,modified_entropy,AUC,0.6983001502488431,0.6970128492563125,0.6998353057153249,0.0028224564590124,0.95,50,290506,290506
covertype,random_forest,modified_entropy,TPR@1%FPR,0.0314774615129028,0.0306820080277717,0.0320286344123426,0.0013466263845708,0.95,50,290506,290506
covertype,random_forest,modified_entropy,membership_advantage@1%FPR,0.0214774615129028,0.0207941005705689,0.022209901620849,0.00141580105028,0.95,50,290506,290506
covertype,random_forest,modified_entropy,TPR@0.1%FPR,0.0031477461512902,0.0030911586240375,0.0032241452411848,0.0001329866171473,0.95,50,290506,290506
covertype,random_forest,modified_entropy,membership_advantage@0.1%FPR,0.0021477461512902,0.002091213888224,0.00221802361108,0.0001268097228559,0.95,50,290506,290506
covertype,hist_gradient_boosting,neg_loss,AUC,0.5067811146286483,0.5053196126983109,0.5083147656515724,0.0029951529532614,0.95,50,290506,290506
covertype,hist_gradient_boosting,neg_loss,TPR@1%FPR,0.0103924187452238,0.009898848905014,0.0109876388095254,0.0010887899045114,0.95,50,290506,290506
covertype,hist_gradient_boosting,neg_loss,membership_advantage@1%FPR,0.0003924187452238,-5.235692206012931e-05,0.00074779866853,0.0008001555905902,0.95,50,290506,290506
covertype,hist_gradient_boosting,neg_loss,TPR@0.1%FPR,0.0009945652173913,0.0008936599134987,0.0011020790650561,0.0002084191515574,0.95,50,290506,290506
covertype,hist_gradient_boosting,neg_loss,membership_advantage@0.1%FPR,-5.434782608695638e-06,-9.366956827894326e-05,0.0001166891843645,0.0002103587526434,0.95,50,290506,290506
covertype,hist_gradient_boosting,confidence,AUC,0.5020829815251336,0.5004625081145933,0.5036735847581775,0.0032110766435842,0.95,50,290506,290506
covertype,hist_gradient_boosting,confidence,TPR@1%FPR,0.009314781794524,0.0088172877668619,0.0098364577667931,0.0010191699999311,0.95,50,290506,290506
covertype,hist_gradient_boosting,confidence,membership_advantage@1%FPR,-0.0006852182054759,-0.0012309040088672,-0.0004210240063888,0.0008098800024784,0.95,50,290506,290506
covertype,hist_gradient_boosting,confidence,TPR@0.1%FPR,0.0008446069469835,0.0008000046804105,0.0009420742686367,0.0001420695882262,0.95,50,290506,290506
covertype,hist_gradient_boosting,confidence,membership_advantage@0.1%FPR,-0.0001553930530164,-0.0002232026513498,-6.823326369334172e-05,0.0001549693876565,0.95,50,290506,290506
covertype,hist_gradient_boosting,neg_entropy,AUC,0.5025612490885318,0.500774940881686,0.504125502822733,0.0033505619410471,0.95,50,290506,290506
covertype,hist_gradient_boosting,neg_entropy,TPR@1%FPR,0.0093733003793381,0.0089391045279615,0.0098728597688171,0.0009337552408556,0.95,50,290506,290506
covertype,hist_gradient_boosting,neg_entropy,membership_advantage@1%FPR,-0.0006266996206618,-0.0012469966196911,-0.0003583746979408,0.0008886219217503,0.95,50,290506,290506
covertype,hist_gradient_boosting,neg_entropy,TPR@0.1%FPR,0.0008304668304668,0.0007666062752954,0.00092899061669,0.0001623843413946,0.95,50,290506,290506
covertype,hist_gradient_boosting,neg_entropy,membership_advantage@0.1%FPR,-0.0001695331695331,-0.0002321270550185,-8.39950218895636e-05,0.0001481320331289,0.95,50,290506,290506
covertype,hist_gradient_boosting,modified_entropy,AUC,0.5068155603841812,0.5053583270378277,0.5083443931189644,0.0029860660811367,0.95,50,290506,290506
covertype,hist_gradient_boosting,modified_entropy,TPR@1%FPR,0.0103061554666685,0.009807198474386,0.0107488193014946,0.0009416208271085,0.95,50,290506,290506
covertype,hist_gradient_boosting,modified_entropy,membership_advantage@1%FPR,0.0003061554666685,-0.0001271402311828,0.0005876470709727,0.0007147873021555,0.95,50,290506,290506
covertype,hist_gradient_boosting,modified_entropy,TPR@0.1%FPR,0.0009968701095461,0.0009025088189043,0.0011306451950735,0.0002281363761692,0.95,50,290506,290506
covertype,hist_gradient_boosting,modified_entropy,membership_advantage@0.1%FPR,-3.1298904538340847e-06,-9.156250657822415e-05,0.0001300528078275,0.0002216153144057,0.95,50,290506,290506
covertype,extra_trees,neg_loss,AUC,0.9768765533242,0.9765747953570668,0.977138897303326,0.0005641019462592,0.95,50,290506,290506
covertype,extra_trees,neg_loss,TPR@1%FPR,0.2162307406029028,0.2120400734055626,0.2192386445190765,0.0071985711135138,0.95,50,290506,290506
covertype,extra_trees,neg_loss,membership_advantage@1%FPR,0.2062307406029028,0.2046391660336907,0.2091680386741274,0.0045288726404366,0.95,50,290506,290506
covertype,extra_trees,neg_loss,TPR@0.1%FPR,0.0216230740602902,0.02136304856413,0.0218516364628529,0.0004885878987229,0.95,50,290506,290506
covertype,extra_trees,neg_loss,membership_advantage@0.1%FPR,0.0206230740602902,0.0202300010643814,0.0210019049707597,0.0007719039063783,0.95,50,290506,290506
covertype,extra_trees,confidence,AUC,0.9768765533242,0.9765747953570666,0.977138897303326,0.0005641019462593,0.95,50,290506,290506
covertype,extra_trees,confidence,TPR@1%FPR,0.2162307406029028,0.2120400734055626,0.2192386445190765,0.0071985711135138,0.95,50,290506,290506
covertype,extra_trees,confidence,membership_advantage@1%FPR,0.2062307406029028,0.2046391660336907,0.2091680386741274,0.0045288726404366,0.95,50,290506,290506
covertype,extra_trees,confidence,TPR@0.1%FPR,0.0216230740602902,0.02136304856413,0.0218516364628529,0.0004885878987229,0.95,50,290506,290506
